Obs,"Diagnosis
Code",Code Description,"Code Valid
in FY2017 
(10/1/16 - 9/30/17)",,,,,"CC Age Split 
[use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote,FY,Type
1869,E113513,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1870,E113519,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1871,E113521,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",Y,,,,,,,20,,,2017,Commercial
1872,E113522,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",Y,,,,,,,20,,,2017,Commercial
1873,E113523,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",Y,,,,,,,20,,,2017,Commercial
1874,E113529,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1875,E113531,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",Y,,,,,,,20,,,2017,Commercial
1876,E113532,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",Y,,,,,,,20,,,2017,Commercial
1877,E113533,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",Y,,,,,,,20,,,2017,Commercial
1878,E113539,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1879,E113541,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",Y,,,,,,,20,,,2017,Commercial
1880,E113542,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",Y,,,,,,,20,,,2017,Commercial
1881,E113543,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",Y,,,,,,,20,,,2017,Commercial
1882,E113549,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1883,E113551,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",Y,,,,,,,20,,,2017,Commercial
1884,E113552,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",Y,,,,,,,20,,,2017,Commercial
1885,E113553,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",Y,,,,,,,20,,,2017,Commercial
1886,E113559,"Type 2 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1887,E113591,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1888,E113592,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1889,E113593,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1890,E113599,"Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1891,E1136,Type 2 diabetes mellitus with diabetic cataract,Y,,,,,,,20,,,2017,Commercial
1892,E1137X1,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",Y,,,,,,,20,,,2017,Commercial
1893,E1137X2,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",Y,,,,,,,20,,,2017,Commercial
1894,E1137X3,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",Y,,,,,,,20,,,2017,Commercial
1895,E1137X9,"Type 2 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1896,E1139,Type 2 diabetes mellitus with other diabetic ophthalmic complication,Y,,,,,,,20,,,2017,Commercial
1897,E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",Y,,,,,,,20,,,2017,Commercial
1898,E1141,Type 2 diabetes mellitus with diabetic mononeuropathy,Y,,,,,,,20,,,2017,Commercial
1899,E1142,Type 2 diabetes mellitus with diabetic polyneuropathy,Y,,,,,,,20,,,2017,Commercial
1900,E1143,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,Y,,,,,,,20,,,2017,Commercial
1901,E1144,Type 2 diabetes mellitus with diabetic amyotrophy,Y,,,,,,,20,,,2017,Commercial
1902,E1149,Type 2 diabetes mellitus with other diabetic neurological complication,Y,,,,,,,20,,,2017,Commercial
1903,E1151,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,Y,,,,,,,20,,,2017,Commercial
1904,E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,Y,,,,,,,20,153,,2017,Commercial
1905,E1159,Type 2 diabetes mellitus with other circulatory complications,Y,,,,,,,20,,,2017,Commercial
1906,E11610,Type 2 diabetes mellitus with diabetic neuropathic arthropathy,Y,,,,,,,20,,,2017,Commercial
1907,E11618,Type 2 diabetes mellitus with other diabetic arthropathy,Y,,,,,,,20,,,2017,Commercial
1908,E11620,Type 2 diabetes mellitus with diabetic dermatitis,Y,,,,,,,20,,,2017,Commercial
1909,E11621,Type 2 diabetes mellitus with foot ulcer,Y,,,,,,,20,,,2017,Commercial
1910,E11622,Type 2 diabetes mellitus with other skin ulcer,Y,,,,,,,20,,,2017,Commercial
1911,E11628,Type 2 diabetes mellitus with other skin complications,Y,,,,,,,20,,,2017,Commercial
1912,E11630,Type 2 diabetes mellitus with periodontal disease,Y,,,,,,,20,,,2017,Commercial
1913,E11638,Type 2 diabetes mellitus with other oral complications,Y,,,,,,,20,,,2017,Commercial
1914,E11641,Type 2 diabetes mellitus with hypoglycemia with coma,Y,,,,,,,19,,,2017,Commercial
1915,E11649,Type 2 diabetes mellitus with hypoglycemia without coma,Y,,,,,,,20,,,2017,Commercial
1916,E1165,Type 2 diabetes mellitus with hyperglycemia,Y,,,,,,,20,,,2017,Commercial
1917,E1169,Type 2 diabetes mellitus with other specified complication,Y,,,,,,,20,,,2017,Commercial
1918,E118,Type 2 diabetes mellitus with unspecified complications,Y,,,,,,,20,,,2017,Commercial
1919,E119,Type 2 diabetes mellitus without complications,Y,,,,,,,21,,,2017,Commercial
1920,E1300,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),Y,,,,,,,19,,,2017,Commercial
1921,E1301,Other specified diabetes mellitus with hyperosmolarity with coma,Y,,,,,,,19,,,2017,Commercial
1922,E1310,Other specified diabetes mellitus with ketoacidosis without coma,Y,,,,,,,19,,,2017,Commercial
1923,E1311,Other specified diabetes mellitus with ketoacidosis with coma,Y,,,,,,,19,,,2017,Commercial
1924,E1321,Other specified diabetes mellitus with diabetic nephropathy,Y,,,,,,,20,,,2017,Commercial
1925,E1322,Other specified diabetes mellitus with diabetic chronic kidney disease,Y,,,,,,,20,,,2017,Commercial
1926,E1329,Other specified diabetes mellitus with other diabetic kidney complication,Y,,,,,,,20,,,2017,Commercial
1927,E13311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,Y,,,,,,,20,,,2017,Commercial
1928,E13319,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,Y,,,,,,,20,,,2017,Commercial
1929,E133211,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1930,E133212,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1931,E133213,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1932,E133219,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1933,E133291,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1934,E133292,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1935,E133293,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1936,E133299,"Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1937,E133311,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1938,E133312,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1939,E133313,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1940,E133319,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1941,E133391,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1942,E133392,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1943,E133393,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1944,E133399,"Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1945,E133411,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1946,E133412,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1947,E133413,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1948,E133419,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1949,E133491,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1950,E133492,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1951,E133493,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1952,E133499,"Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1953,E133511,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1954,E133512,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1955,E133513,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1956,E133519,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1957,E133521,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",Y,,,,,,,20,,,2017,Commercial
1958,E133522,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",Y,,,,,,,20,,,2017,Commercial
1959,E133523,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",Y,,,,,,,20,,,2017,Commercial
1960,E133529,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1961,E133531,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",Y,,,,,,,20,,,2017,Commercial
1962,E133532,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",Y,,,,,,,20,,,2017,Commercial
1963,E133533,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",Y,,,,,,,20,,,2017,Commercial
1964,E133539,"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1965,E133541,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",Y,,,,,,,20,,,2017,Commercial
1966,E133542,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",Y,,,,,,,20,,,2017,Commercial
1967,E133543,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",Y,,,,,,,20,,,2017,Commercial
1968,E133549,"Other specified diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1969,E133551,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, right eye",Y,,,,,,,20,,,2017,Commercial
1970,E133552,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, left eye",Y,,,,,,,20,,,2017,Commercial
1971,E133553,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",Y,,,,,,,20,,,2017,Commercial
1972,E133559,"Other specified diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1973,E133591,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",Y,,,,,,,20,,,2017,Commercial
1974,E133592,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",Y,,,,,,,20,,,2017,Commercial
1975,E133593,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",Y,,,,,,,20,,,2017,Commercial
1976,E133599,"Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1977,E1336,Other specified diabetes mellitus with diabetic cataract,Y,,,,,,,20,,,2017,Commercial
1978,E1337X1,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",Y,,,,,,,20,,,2017,Commercial
1979,E1337X2,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",Y,,,,,,,20,,,2017,Commercial
1980,E1337X3,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",Y,,,,,,,20,,,2017,Commercial
1981,E1337X9,"Other specified diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",Y,,,,,,,20,,,2017,Commercial
1982,E1339,Other specified diabetes mellitus with other diabetic ophthalmic complication,Y,,,,,,,20,,,2017,Commercial
1983,E1340,"Other specified diabetes mellitus with diabetic neuropathy, unspecified",Y,,,,,,,20,,,2017,Commercial
1984,E1341,Other specified diabetes mellitus with diabetic mononeuropathy,Y,,,,,,,20,,,2017,Commercial
1985,E1342,Other specified diabetes mellitus with diabetic polyneuropathy,Y,,,,,,,20,,,2017,Commercial
1986,E1343,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,Y,,,,,,,20,,,2017,Commercial
1987,E1344,Other specified diabetes mellitus with diabetic amyotrophy,Y,,,,,,,20,,,2017,Commercial
1988,E1349,Other specified diabetes mellitus with other diabetic neurological complication,Y,,,,,,,20,,,2017,Commercial
1989,E1351,Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene,Y,,,,,,,20,,,2017,Commercial
1990,E1352,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,Y,,,,,,,20,153,,2017,Commercial
1991,E1359,Other specified diabetes mellitus with other circulatory complications,Y,,,,,,,20,,,2017,Commercial
1992,E13610,Other specified diabetes mellitus with diabetic neuropathic arthropathy,Y,,,,,,,20,,,2017,Commercial
1993,E13618,Other specified diabetes mellitus with other diabetic arthropathy,Y,,,,,,,20,,,2017,Commercial
1994,E13620,Other specified diabetes mellitus with diabetic dermatitis,Y,,,,,,,20,,,2017,Commercial
1995,E13621,Other specified diabetes mellitus with foot ulcer,Y,,,,,,,20,,,2017,Commercial
1996,E13622,Other specified diabetes mellitus with other skin ulcer,Y,,,,,,,20,,,2017,Commercial
1997,E13628,Other specified diabetes mellitus with other skin complications,Y,,,,,,,20,,,2017,Commercial
1998,E13630,Other specified diabetes mellitus with periodontal disease,Y,,,,,,,20,,,2017,Commercial
1999,E13638,Other specified diabetes mellitus with other oral complications,Y,,,,,,,20,,,2017,Commercial
2000,E13641,Other specified diabetes mellitus with hypoglycemia with coma,Y,,,,,,,19,,,2017,Commercial
2001,E13649,Other specified diabetes mellitus with hypoglycemia without coma,Y,,,,,,,20,,,2017,Commercial
2002,E1365,Other specified diabetes mellitus with hyperglycemia,Y,,,,,,,20,,,2017,Commercial
2003,E1369,Other specified diabetes mellitus with other specified complication,Y,,,,,,,20,,,2017,Commercial
2004,E138,Other specified diabetes mellitus with unspecified complications,Y,,,,,,,20,,,2017,Commercial
2005,E139,Other specified diabetes mellitus without complications,Y,,,,,,,21,,,2017,Commercial
2006,E15,Nondiabetic hypoglycemic coma,Y,,,,,,,30,,,2017,Commercial
2007,E163,Increased secretion of glucagon,Y,,,,,,,47,,,2017,Commercial
2008,E164,Increased secretion of gastrin,Y,,,,,,,47,,,2017,Commercial
2009,E168,Other specified disorders of pancreatic internal secretion,Y,,,,,,,47,,,2017,Commercial
2010,E169,"Disorder of pancreatic internal secretion, unspecified",Y,,,,,,,47,,,2017,Commercial
2011,E200,Idiopathic hypoparathyroidism,Y,,,,,,,30,,,2017,Commercial
2012,E208,Other hypoparathyroidism,Y,,,,,,,30,,,2017,Commercial
2013,E209,"Hypoparathyroidism, unspecified",Y,,,,,,,30,,,2017,Commercial
2014,E210,Primary hyperparathyroidism,Y,,,,,,,30,,,2017,Commercial
2015,E211,"Secondary hyperparathyroidism, not elsewhere classified",Y,,,,,,,30,,,2017,Commercial
2016,E212,Other hyperparathyroidism,Y,,,,,,,30,,,2017,Commercial
2017,E213,"Hyperparathyroidism, unspecified",Y,,,,,,,30,,,2017,Commercial
2018,E214,Other specified disorders of parathyroid gland,Y,,,,,,,30,,,2017,Commercial
2019,E215,"Disorder of parathyroid gland, unspecified",Y,,,,,,,30,,,2017,Commercial
2020,E220,Acromegaly and pituitary gigantism,Y,,,,,,,30,,,2017,Commercial
2021,E221,Hyperprolactinemia,Y,,,,,,,30,,,2017,Commercial
2022,E222,Syndrome of inappropriate secretion of antidiuretic hormone,Y,,,,,,,30,,,2017,Commercial
2023,E228,Other hyperfunction of pituitary gland,Y,,,,,,,30,,,2017,Commercial
2024,E229,"Hyperfunction of pituitary gland, unspecified",Y,,,,,,,30,,,2017,Commercial
2025,E230,Hypopituitarism,Y,,,,,,,30,,,2017,Commercial
2026,E231,Drug-induced hypopituitarism,Y,,,,,,,30,,,2017,Commercial
2027,E232,Diabetes insipidus,Y,,,,,,,30,,,2017,Commercial
2028,E233,"Hypothalamic dysfunction, not elsewhere classified",Y,,,,,,,30,,,2017,Commercial
2029,E236,Other disorders of pituitary gland,Y,,,,,,,30,,,2017,Commercial
2030,E237,"Disorder of pituitary gland, unspecified",Y,,,,,,,30,,,2017,Commercial
2031,E240,Pituitary-dependent Cushing's disease,Y,,,,,,,30,,,2017,Commercial
2032,E241,Nelson's syndrome,Y,,,,,,,30,,,2017,Commercial
2033,E242,Drug-induced Cushing's syndrome,Y,,,,,,,30,,,2017,Commercial
2034,E243,Ectopic ACTH syndrome,Y,,,,,,,30,,,2017,Commercial
2035,E244,Alcohol-induced pseudo-Cushing's syndrome,Y,,,,,,,30,,,2017,Commercial
2036,E248,Other Cushing's syndrome,Y,,,,,,,30,,,2017,Commercial
2037,E249,"Cushing's syndrome, unspecified",Y,,,,,,,30,,,2017,Commercial
2038,E250,Congenital adrenogenital disorders associated with enzyme deficiency,Y,,,,,,,30,,,2017,Commercial
2039,E258,Other adrenogenital disorders,Y,,,,,,,30,,,2017,Commercial
2040,E259,"Adrenogenital disorder, unspecified",Y,,,,,,,30,,,2017,Commercial
2041,E2601,Conn's syndrome,Y,,,,,,,30,,,2017,Commercial
2042,E2602,Glucocorticoid-remediable aldosteronism,Y,,,,,,,30,,,2017,Commercial
2043,E2609,Other primary hyperaldosteronism,Y,,,,,,,30,,,2017,Commercial
2044,E261,Secondary hyperaldosteronism,Y,,,,,,,30,,,2017,Commercial
2045,E2681,Bartter's syndrome,Y,,,,,,,30,,,2017,Commercial
2046,E2689,Other hyperaldosteronism,Y,,,,,,,30,,,2017,Commercial
2047,E269,"Hyperaldosteronism, unspecified",Y,,,,,,,30,,,2017,Commercial
2048,E270,Other adrenocortical overactivity,Y,,,,,,,30,,,2017,Commercial
2049,E271,Primary adrenocortical insufficiency,Y,,,,,,,30,,,2017,Commercial
2050,E272,Addisonian crisis,Y,,,,,,,30,,,2017,Commercial
2051,E273,Drug-induced adrenocortical insufficiency,Y,,,,,,,30,,,2017,Commercial
2052,E2740,Unspecified adrenocortical insufficiency,Y,,,,,,,30,,,2017,Commercial
2053,E2749,Other adrenocortical insufficiency,Y,,,,,,,30,,,2017,Commercial
2054,E275,Adrenomedullary hyperfunction,Y,,,,,,,30,,,2017,Commercial
2055,E278,Other specified disorders of adrenal gland,Y,,,,,,,30,,,2017,Commercial
2056,E279,"Disorder of adrenal gland, unspecified",Y,,,,,,,30,,,2017,Commercial
2057,E310,Autoimmune polyglandular failure,Y,,,,,,,30,,,2017,Commercial
2058,E311,Polyglandular hyperfunction,Y,,,,,,,30,,,2017,Commercial
2059,E3120,"Multiple endocrine neoplasia [MEN] syndrome, unspecified",Y,,,,,,,30,,,2017,Commercial
2060,E3121,Multiple endocrine neoplasia [MEN] type I,Y,,,,,,,30,,,2017,Commercial
2061,E3122,Multiple endocrine neoplasia [MEN] type IIA,Y,,,,,,,30,,,2017,Commercial
2062,E3123,Multiple endocrine neoplasia [MEN] type IIB,Y,,,,,,,30,,,2017,Commercial
2063,E318,Other polyglandular dysfunction,Y,,,,,,,30,,,2017,Commercial
2064,E319,"Polyglandular dysfunction, unspecified",Y,,,,,,,30,,,2017,Commercial
2065,E320,Persistent hyperplasia of thymus,Y,,,,,,,30,,,2017,Commercial
2066,E321,Abscess of thymus,Y,,,,,,,30,,,2017,Commercial
2067,E328,Other diseases of thymus,Y,,,,,,,30,,,2017,Commercial
2068,E329,"Disease of thymus, unspecified",Y,,,,,,,30,,,2017,Commercial
2069,E340,Carcinoid syndrome,Y,,,,,,,13,,,2017,Commercial
2070,E344,Constitutional tall stature,Y,,,,,,,30,,,2017,Commercial
2071,E40,Kwashiorkor,Y,,,,,,,23,,,2017,Commercial
2072,E41,Nutritional marasmus,Y,,,,,,,23,,,2017,Commercial
2073,E42,Marasmic kwashiorkor,Y,,,,,,,23,,,2017,Commercial
2074,E43,Unspecified severe protein-calorie malnutrition,Y,,,,,,,23,,,2017,Commercial
2075,E440,Moderate protein-calorie malnutrition,Y,,,,,,,23,,,2017,Commercial
2076,E441,Mild protein-calorie malnutrition,Y,,,,,,,23,,,2017,Commercial
2077,E45,Retarded development following protein-calorie malnutrition,Y,,,,,,,23,,,2017,Commercial
2078,E46,Unspecified protein-calorie malnutrition,Y,,,,,,,23,,,2017,Commercial
2079,E640,Sequelae of protein-calorie malnutrition,Y,,,,,,,23,,,2017,Commercial
2080,E700,Classical phenylketonuria,Y,,,,,,,28,,,2017,Commercial
2081,E701,Other hyperphenylalaninemias,Y,,,,,,,28,,,2017,Commercial
2082,E7020,"Disorder of tyrosine metabolism, unspecified",Y,,,,,,,28,,,2017,Commercial
2083,E7021,Tyrosinemia,Y,,,,,,,28,,,2017,Commercial
2084,E7029,Other disorders of tyrosine metabolism,Y,,,,,,,28,,,2017,Commercial
2085,E7030,"Albinism, unspecified",Y,,,,,,,28,,,2017,Commercial
2086,E70310,X-linked ocular albinism,Y,,,,,,,28,,,2017,Commercial
2087,E70311,Autosomal recessive ocular albinism,Y,,,,,,,28,,,2017,Commercial
2088,E70318,Other ocular albinism,Y,,,,,,,28,,,2017,Commercial
2089,E70319,"Ocular albinism, unspecified",Y,,,,,,,28,,,2017,Commercial
2090,E70320,Tyrosinase negative oculocutaneous albinism,Y,,,,,,,28,,,2017,Commercial
2091,E70321,Tyrosinase positive oculocutaneous albinism,Y,,,,,,,28,,,2017,Commercial
2092,E70328,Other oculocutaneous albinism,Y,,,,,,,28,,,2017,Commercial
2093,E70329,"Oculocutaneous albinism, unspecified",Y,,,,,,,28,,,2017,Commercial
2094,E70330,Chediak-Higashi syndrome,Y,,,,,,,28,,,2017,Commercial
2095,E70331,Hermansky-Pudlak syndrome,Y,,,,,,,28,,,2017,Commercial
2096,E70338,Other albinism with hematologic abnormality,Y,,,,,,,28,,,2017,Commercial
2097,E70339,"Albinism with hematologic abnormality, unspecified",Y,,,,,,,28,,,2017,Commercial
2098,E7039,Other specified albinism,Y,,,,,,,28,,,2017,Commercial
2099,E7040,"Disorders of histidine metabolism, unspecified",Y,,,,,,,28,,,2017,Commercial
2100,E7041,Histidinemia,Y,,,,,,,28,,,2017,Commercial
2101,E7049,Other disorders of histidine metabolism,Y,,,,,,,28,,,2017,Commercial
2102,E705,Disorders of tryptophan metabolism,Y,,,,,,,28,,,2017,Commercial
2103,E708,Other disorders of aromatic amino-acid metabolism,Y,,,,,,,28,,,2017,Commercial
2104,E709,"Disorder of aromatic amino-acid metabolism, unspecified",Y,,,,,,,28,,,2017,Commercial
2105,E710,Maple-syrup-urine disease,Y,,,,,,,28,,,2017,Commercial
2106,E71110,Isovaleric acidemia,Y,,,,,,,28,,,2017,Commercial
2107,E71111,3-methylglutaconic aciduria,Y,,,,,,,28,,,2017,Commercial
2108,E71118,Other branched-chain organic acidurias,Y,,,,,,,28,,,2017,Commercial
2109,E71120,Methylmalonic acidemia,Y,,,,,,,28,,,2017,Commercial
2110,E71121,Propionic acidemia,Y,,,,,,,28,,,2017,Commercial
2111,E71128,Other disorders of propionate metabolism,Y,,,,,,,28,,,2017,Commercial
2112,E7119,Other disorders of branched-chain amino-acid metabolism,Y,,,,,,,28,,,2017,Commercial
2113,E712,"Disorder of branched-chain amino-acid metabolism, unspecified",Y,,,,,,,28,,,2017,Commercial
2114,E71310,Long chain/very long chain acyl CoA dehydrogenase deficiency,Y,,,,,,,28,,,2017,Commercial
2115,E71311,Medium chain acyl CoA dehydrogenase deficiency,Y,,,,,,,28,,,2017,Commercial
2116,E71312,Short chain acyl CoA dehydrogenase deficiency,Y,,,,,,,28,,,2017,Commercial
2117,E71313,Glutaric aciduria type II,Y,,,,,,,28,,,2017,Commercial
2118,E71314,Muscle carnitine palmitoyltransferase deficiency,Y,,,,,,,28,,,2017,Commercial
2119,E71318,Other disorders of fatty-acid oxidation,Y,,,,,,,28,,,2017,Commercial
2120,E7132,Disorders of ketone metabolism,Y,,,,,,,28,,,2017,Commercial
2121,E7139,Other disorders of fatty-acid metabolism,Y,,,,,,,29,,,2017,Commercial
2122,E7140,"Disorder of carnitine metabolism, unspecified",Y,,,,,,,29,,,2017,Commercial
2123,E7141,Primary carnitine deficiency,Y,,,,,,,29,,,2017,Commercial
2124,E7142,Carnitine deficiency due to inborn errors of metabolism,Y,,,,,,,28,,,2017,Commercial
2125,E7143,Iatrogenic carnitine deficiency,Y,,,,,,,29,,,2017,Commercial
