Obs,"Diagnosis
Code",Code Description,"Code Valid
in FY2019
(10/1/18 - 9/30/19)","FY2019 MCE
Age Condition
[use AGE_AT
_DIAGNOSIS]","FY2019
MCE Sex
Condition","CY2019 (FY19/FY20)
MCE Age
Condition
[use AGE_AT
_DIAGNOSIS]","CY2019
(FY19/FY20)
MCE Sex
Condition","CC Age Split
[use AGE_LAST]",CC Sex Split,CC,Additional CC,Footnote
2336,F14251,Cocaine dependence with cocaine-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2337,F14259,"Cocaine dependence with cocaine-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2338,F14280,Cocaine dependence with cocaine-induced anxiety disorder,Y,,,,,,,82,,
2339,F14281,Cocaine dependence with cocaine-induced sexual dysfunction,Y,,,,,,,82,,
2340,F14282,Cocaine dependence with cocaine-induced sleep disorder,Y,,,,,,,82,,
2341,F14288,Cocaine dependence with other cocaine-induced disorder,Y,,,,,,,82,,
2342,F1429,Cocaine dependence with unspecified cocaine-induced disorder,Y,,,,,,,82,,
2343,F14950,"Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions",Y,,,,,,,81,,
2344,F14951,"Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations",Y,,,,,,,81,,
2345,F14959,"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2346,F15150,Other stimulant abuse with stimulant-induced psychotic disorder with delusions,Y,,,,,,,81,,
2347,F15151,Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2348,F15159,"Other stimulant abuse with stimulant-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2349,F1520,"Other stimulant dependence, uncomplicated",Y,,,,,,,82,,
2350,F1521,"Other stimulant dependence, in remission",Y,,,,,,,82,,
2351,F15220,"Other stimulant dependence with intoxication, uncomplicated",Y,,,,,,,82,,
2352,F15221,Other stimulant dependence with intoxication delirium,Y,,,,,,,82,,
2353,F15222,Other stimulant dependence with intoxication with perceptual disturbance,Y,,,,,,,82,,
2354,F15229,"Other stimulant dependence with intoxication, unspecified",Y,,,,,,,82,,
2355,F1523,Other stimulant dependence with withdrawal,Y,,,,,,,82,,
2356,F1524,Other stimulant dependence with stimulant-induced mood disorder,Y,,,,,,,82,,
2357,F15250,Other stimulant dependence with stimulant-induced psychotic disorder with delusions,Y,,,,,,,81,,
2358,F15251,Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2359,F15259,"Other stimulant dependence with stimulant-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2360,F15280,Other stimulant dependence with stimulant-induced anxiety disorder,Y,,,,,,,82,,
2361,F15281,Other stimulant dependence with stimulant-induced sexual dysfunction,Y,,,,,,,82,,
2362,F15282,Other stimulant dependence with stimulant-induced sleep disorder,Y,,,,,,,82,,
2363,F15288,Other stimulant dependence with other stimulant-induced disorder,Y,,,,,,,82,,
2364,F1529,Other stimulant dependence with unspecified stimulant-induced disorder,Y,,,,,,,82,,
2365,F1593,"Other stimulant use, unspecified with withdrawal",Y,,,,,,,82,,
2366,F15950,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions",Y,,,,,,,81,,
2367,F15951,"Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations",Y,,,,,,,81,,
2368,F15959,"Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2369,F16150,Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions,Y,,,,,,,81,,
2370,F16151,Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2371,F16159,"Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2372,F1620,"Hallucinogen dependence, uncomplicated",Y,,,,,,,82,,
2373,F1621,"Hallucinogen dependence, in remission",Y,,,,,,,82,,
2374,F16220,"Hallucinogen dependence with intoxication, uncomplicated",Y,,,,,,,82,,
2375,F16221,Hallucinogen dependence with intoxication with delirium,Y,,,,,,,82,,
2376,F16229,"Hallucinogen dependence with intoxication, unspecified",Y,,,,,,,82,,
2377,F1624,Hallucinogen dependence with hallucinogen-induced mood disorder,Y,,,,,,,82,,
2378,F16250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions,Y,,,,,,,81,,
2379,F16251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2380,F16259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2381,F16280,Hallucinogen dependence with hallucinogen-induced anxiety disorder,Y,,,,,,,82,,
2382,F16283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks),Y,,,,,,,82,,
2383,F16288,Hallucinogen dependence with other hallucinogen-induced disorder,Y,,,,,,,82,,
2384,F1629,Hallucinogen dependence with unspecified hallucinogen-induced disorder,Y,,,,,,,82,,
2385,F16950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions",Y,,,,,,,81,,
2386,F16951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations",Y,,,,,,,81,,
2387,F16959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2388,F18150,Inhalant abuse with inhalant-induced psychotic disorder with delusions,Y,,,,,,,81,,
2389,F18151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2390,F18159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2391,F1817,Inhalant abuse with inhalant-induced dementia,Y,,,,,,,81,,
2392,F1820,"Inhalant dependence, uncomplicated",Y,,,,,,,82,,
2393,F1821,"Inhalant dependence, in remission",Y,,,,,,,82,,
2394,F18220,"Inhalant dependence with intoxication, uncomplicated",Y,,,,,,,82,,
2395,F18221,Inhalant dependence with intoxication delirium,Y,,,,,,,82,,
2396,F18229,"Inhalant dependence with intoxication, unspecified",Y,,,,,,,82,,
2397,F1824,Inhalant dependence with inhalant-induced mood disorder,Y,,,,,,,82,,
2398,F18250,Inhalant dependence with inhalant-induced psychotic disorder with delusions,Y,,,,,,,81,,
2399,F18251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2400,F18259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2401,F1827,Inhalant dependence with inhalant-induced dementia,Y,,,,,,,81,,
2402,F18280,Inhalant dependence with inhalant-induced anxiety disorder,Y,,,,,,,82,,
2403,F18288,Inhalant dependence with other inhalant-induced disorder,Y,,,,,,,82,,
2404,F1829,Inhalant dependence with unspecified inhalant-induced disorder,Y,,,,,,,82,,
2405,F18950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions",Y,,,,,,,81,,
2406,F18951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations",Y,,,,,,,81,,
2407,F18959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2408,F1897,"Inhalant use, unspecified with inhalant-induced persisting dementia",Y,,,,,,,81,,
2409,F19150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions,Y,,,,,,,81,,
2410,F19151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2411,F19159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2412,F1916,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder,Y,,,,,,,81,,
2413,F1917,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia,Y,,,,,,,81,,
2414,F1920,"Other psychoactive substance dependence, uncomplicated",Y,,,,,,,82,,
2415,F1921,"Other psychoactive substance dependence, in remission",Y,,,,,,,82,,
2416,F19220,"Other psychoactive substance dependence with intoxication, uncomplicated",Y,,,,,,,82,,
2417,F19221,Other psychoactive substance dependence with intoxication delirium,Y,,,,,,,82,,
2418,F19222,Other psychoactive substance dependence with intoxication with perceptual disturbance,Y,,,,,,,82,,
2419,F19229,"Other psychoactive substance dependence with intoxication, unspecified",Y,,,,,,,82,,
2420,F19230,"Other psychoactive substance dependence with withdrawal, uncomplicated",Y,,,,,,,82,,
2421,F19231,Other psychoactive substance dependence with withdrawal delirium,Y,,,,,,,81,,
2422,F19232,Other psychoactive substance dependence with withdrawal with perceptual disturbance,Y,,,,,,,81,,
2423,F19239,"Other psychoactive substance dependence with withdrawal, unspecified",Y,,,,,,,82,,
2424,F1924,Other psychoactive substance dependence with psychoactive substance-induced mood disorder,Y,,,,,,,82,,
2425,F19250,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions,Y,,,,,,,81,,
2426,F19251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations,Y,,,,,,,81,,
2427,F19259,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2428,F1926,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder,Y,,,,,,,81,,
2429,F1927,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia,Y,,,,,,,81,,
2430,F19280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder,Y,,,,,,,82,,
2431,F19281,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction,Y,,,,,,,82,,
2432,F19282,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder,Y,,,,,,,82,,
2433,F19288,Other psychoactive substance dependence with other psychoactive substance-induced disorder,Y,,,,,,,82,,
2434,F1929,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder,Y,,,,,,,82,,
2435,F19930,"Other psychoactive substance use, unspecified with withdrawal, uncomplicated",Y,,,,,,,82,,
2436,F19931,"Other psychoactive substance use, unspecified with withdrawal delirium",Y,,,,,,,81,,
2437,F19932,"Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance",Y,,,,,,,81,,
2438,F19939,"Other psychoactive substance use, unspecified with withdrawal, unspecified",Y,,,,,,,82,,
2439,F19950,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions",Y,,,,,,,81,,
2440,F19951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations",Y,,,,,,,81,,
2441,F19959,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified",Y,,,,,,,81,,
2442,F1996,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder",Y,,,,,,,81,,
2443,F1997,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia",Y,,,,,,,81,,
2444,F200,Paranoid schizophrenia,Y,,,,,,,87,,
2445,F201,Disorganized schizophrenia,Y,,,,,,,87,,
2446,F202,Catatonic schizophrenia,Y,,,,,,,87,,
2447,F203,Undifferentiated schizophrenia,Y,,,,,,,87,,
2448,F205,Residual schizophrenia,Y,,,,,,,87,,
2449,F2081,Schizophreniform disorder,Y,,,,,,,87,,
2450,F2089,Other schizophrenia,Y,,,,,,,87,,
2451,F209,"Schizophrenia, unspecified",Y,,,,,,,87,,
2452,F21,Schizotypal disorder,Y,,,,,,,90,,
2453,F22,Delusional disorders,Y,,,,,,,89,,
2454,F23,Brief psychotic disorder,Y,,,,,,,89,,
2455,F24,Shared psychotic disorder,Y,,,,,,,89,,
2456,F250,"Schizoaffective disorder, bipolar type",Y,,,,,,,87,,
2457,F251,"Schizoaffective disorder, depressive type",Y,,,,,,,87,,
2458,F258,Other schizoaffective disorders,Y,,,,,,,87,,
2459,F259,"Schizoaffective disorder, unspecified",Y,,,,,,,87,,
2460,F28,Other psychotic disorder not due to a substance or known physiological condition,Y,,,,,,,89,,
2461,F29,Unspecified psychosis not due to a substance or known physiological condition,Y,,,,,,,89,,
2462,F3010,"Manic episode without psychotic symptoms, unspecified",Y,,,,,,,88,,
2463,F3011,"Manic episode without psychotic symptoms, mild",Y,,,,,,,88,,
2464,F3012,"Manic episode without psychotic symptoms, moderate",Y,,,,,,,88,,
2465,F3013,"Manic episode, severe, without psychotic symptoms",Y,,,,,,,88,,
2466,F302,"Manic episode, severe with psychotic symptoms",Y,,,,,,,88,,
2467,F303,Manic episode in partial remission,Y,,,,,,,88,,
2468,F304,Manic episode in full remission,Y,,,,,,,88,,
2469,F308,Other manic episodes,Y,,,,,,,88,,
2470,F309,"Manic episode, unspecified",Y,,,,,,,88,,
2471,F310,"Bipolar disorder, current episode hypomanic",Y,,,,,,,88,,
2472,F3110,"Bipolar disorder, current episode manic without psychotic features, unspecified",Y,,,,,,,88,,
2473,F3111,"Bipolar disorder, current episode manic without psychotic features, mild",Y,,,,,,,88,,
2474,F3112,"Bipolar disorder, current episode manic without psychotic features, moderate",Y,,,,,,,88,,
2475,F3113,"Bipolar disorder, current episode manic without psychotic features, severe",Y,,,,,,,88,,
2476,F312,"Bipolar disorder, current episode manic severe with psychotic features",Y,,,,,,,88,,
2477,F3130,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",Y,,,,,,,88,,
2478,F3131,"Bipolar disorder, current episode depressed, mild",Y,,,,,,,88,,
2479,F3132,"Bipolar disorder, current episode depressed, moderate",Y,,,,,,,88,,
2480,F314,"Bipolar disorder, current episode depressed, severe, without psychotic features",Y,,,,,,,88,,
2481,F315,"Bipolar disorder, current episode depressed, severe, with psychotic features",Y,,,,,,,88,,
2482,F3160,"Bipolar disorder, current episode mixed, unspecified",Y,,,,,,,88,,
2483,F3161,"Bipolar disorder, current episode mixed, mild",Y,,,,,,,88,,
2484,F3162,"Bipolar disorder, current episode mixed, moderate",Y,,,,,,,88,,
2485,F3163,"Bipolar disorder, current episode mixed, severe, without psychotic features",Y,,,,,,,88,,
2486,F3164,"Bipolar disorder, current episode mixed, severe, with psychotic features",Y,,,,,,,88,,
2487,F3170,"Bipolar disorder, currently in remission, most recent episode unspecified",Y,,,,,,,88,,
2488,F3171,"Bipolar disorder, in partial remission, most recent episode hypomanic",Y,,,,,,,88,,
2489,F3172,"Bipolar disorder, in full remission, most recent episode hypomanic",Y,,,,,,,88,,
2490,F3173,"Bipolar disorder, in partial remission, most recent episode manic",Y,,,,,,,88,,
2491,F3174,"Bipolar disorder, in full remission, most recent episode manic",Y,,,,,,,88,,
2492,F3175,"Bipolar disorder, in partial remission, most recent episode depressed",Y,,,,,,,88,,
2493,F3176,"Bipolar disorder, in full remission, most recent episode depressed",Y,,,,,,,88,,
2494,F3177,"Bipolar disorder, in partial remission, most recent episode mixed",Y,,,,,,,88,,
2495,F3178,"Bipolar disorder, in full remission, most recent episode mixed",Y,,,,,,,88,,
2496,F3181,Bipolar II disorder,Y,,,,,,,88,,
2497,F3189,Other bipolar disorder,Y,,,,,,,88,,
2498,F319,"Bipolar disorder, unspecified",Y,,,,,,,88,,
2499,F322,"Major depressive disorder, single episode, severe without psychotic features",Y,,,,,,,88,,
2500,F323,"Major depressive disorder, single episode, severe with psychotic features",Y,,,,,,,88,,
2501,F332,"Major depressive disorder, recurrent severe without psychotic features",Y,,,,,,,88,,
2502,F333,"Major depressive disorder, recurrent, severe with psychotic symptoms",Y,,,,,,,88,,
2503,F3481,Disruptive mood dysregulation disorder,Y,,,,,6 <= age <= 18,,88,,
2504,F440,Dissociative amnesia,Y,,,,,,,90,,
2505,F441,Dissociative fugue,Y,,,,,,,90,,
2506,F4481,Dissociative identity disorder,Y,,,,,,,90,,
2507,F481,Depersonalization-derealization syndrome,Y,,,,,,,90,,
2508,F5000,"Anorexia nervosa, unspecified",Y,,,,,,,94,,
2509,F5001,"Anorexia nervosa, restricting type",Y,,,,,,,94,,
2510,F5002,"Anorexia nervosa, binge eating/purging type",Y,,,,,,,94,,
2511,F502,Bulimia nervosa,Y,,,,,,,94,,
2512,F531,Puerperal psychosis,Y,12 <= age <= 55,female,9 <= age <= 64,female,,,89,,
2513,F600,Paranoid personality disorder,Y,,,,,,,90,,
2514,F601,Schizoid personality disorder,Y,,,,,,,90,,
2515,F602,Antisocial personality disorder,Y,,,,,,,90,,
2516,F603,Borderline personality disorder,Y,,,,,,,90,,
2517,F604,Histrionic personality disorder,Y,,,,,,,90,,
2518,F605,Obsessive-compulsive personality disorder,Y,,,,,,,90,,
2519,F606,Avoidant personality disorder,Y,,,,,,,90,,
2520,F607,Dependent personality disorder,Y,,,,,,,90,,
2521,F6081,Narcissistic personality disorder,Y,,,,,,,90,,
2522,F6089,Other specific personality disorders,Y,,,,,,,90,,
2523,F609,"Personality disorder, unspecified",Y,,,,,,,90,,
2524,F840,Autistic disorder,Y,,,,,,,102,,
2525,F842,Rett's syndrome,Y,,,,,,,103,,
2526,F843,Other childhood disintegrative disorder,Y,0 <= age <= 17,,0 <= age <= 17,,,,103,,
2527,F845,Asperger's syndrome,Y,,,,,,,103,,
2528,F848,Other pervasive developmental disorders,Y,,,,,,,103,,
2529,F849,"Pervasive developmental disorder, unspecified",Y,,,,,,,103,,
2530,G000,Hemophilus meningitis,Y,,,,,,,3,,
2531,G001,Pneumococcal meningitis,Y,,,,,,,3,,
2532,G002,Streptococcal meningitis,Y,,,,,,,3,,
2533,G003,Staphylococcal meningitis,Y,,,,,,,3,,
2534,G008,Other bacterial meningitis,Y,,,,,,,3,,
2535,G009,"Bacterial meningitis, unspecified",Y,,,,,,,3,,
2536,G01,Meningitis in bacterial diseases classified elsewhere,Y,,,,,,,3,,
2537,G02,Meningitis in other infectious and parasitic diseases classified elsewhere,Y,,,,,,,3,,
2538,G030,Nonpyogenic meningitis,Y,,,,,,,4,,
2539,G031,Chronic meningitis,Y,,,,,,,4,,
2540,G032,Benign recurrent meningitis [Mollaret],Y,,,,,,,4,,
2541,G038,Meningitis due to other specified causes,Y,,,,,,,4,,
2542,G039,"Meningitis, unspecified",Y,,,,,,,4,,
2543,G0400,"Acute disseminated encephalitis and encephalomyelitis, unspecified",Y,,,,,,,3,,
2544,G0401,Postinfectious acute disseminated encephalitis and encephalomyelitis (postinfectious ADEM),Y,,,,,,,3,,
2545,G0402,"Postimmunization acute disseminated encephalitis, myelitis and encephalomyelitis",Y,,,,,,,3,,
2546,G041,Tropical spastic paraplegia,Y,,,,,,,110,,
2547,G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",Y,,,,,,,3,,
2548,G0430,"Acute necrotizing hemorrhagic encephalopathy, unspecified",Y,,,,,,,3,,
2549,G0431,Postinfectious acute necrotizing hemorrhagic encephalopathy,Y,,,,,,,3,,
2550,G0432,Postimmunization acute necrotizing hemorrhagic encephalopathy,Y,,,,,,,3,,
2551,G0439,Other acute necrotizing hemorrhagic encephalopathy,Y,,,,,,,3,,
2552,G0481,Other encephalitis and encephalomyelitis,Y,,,,,,,3,,
2553,G0489,Other myelitis,Y,,,,,,,110,,
2554,G0490,"Encephalitis and encephalomyelitis, unspecified",Y,,,,,,,3,,
2555,G0491,"Myelitis, unspecified",Y,,,,,,,110,,
2556,G053,Encephalitis and encephalomyelitis in diseases classified elsewhere,Y,,,,,,,3,,
2557,G054,Myelitis in diseases classified elsewhere,Y,,,,,,,110,,
2558,G060,Intracranial abscess and granuloma,Y,,,,,,,3,,
2559,G061,Intraspinal abscess and granuloma,Y,,,,,,,3,,
2560,G062,"Extradural and subdural abscess, unspecified",Y,,,,,,,3,,
2561,G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,Y,,,,,,,3,,
2562,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,Y,,,,,,,3,,
2563,G10,Huntington's disease,Y,,,,,,,119,,
2564,G110,Congenital nonprogressive ataxia,Y,,,,,,,119,,
2565,G111,Early-onset cerebellar ataxia,Y,,,,,,,119,,
2566,G112,Late-onset cerebellar ataxia,Y,age >=15,,age >=15,,,,119,,
2567,G113,Cerebellar ataxia with defective DNA repair,Y,,,,,,,119,,
2568,G114,Hereditary spastic paraplegia,Y,,,,,,,119,,
2569,G118,Other hereditary ataxias,Y,,,,,,,119,,
2570,G119,"Hereditary ataxia, unspecified",Y,,,,,,,119,,
2571,G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]",Y,,,,,,,111,,
2572,G121,Other inherited spinal muscular atrophy,Y,,,,,,,111,,
2573,G1220,"Motor neuron disease, unspecified",Y,,,,,,,111,,
2574,G1221,Amyotrophic lateral sclerosis,Y,age >=15,,age >=15,,,,111,,
2575,G1222,Progressive bulbar palsy,Y,,,,,,,111,,
2576,G1223,Primary lateral sclerosis,Y,,,,,,,111,,
2577,G1224,Familial motor neuron disease,Y,,,,,,,111,,
2578,G1225,Progressive spinal muscle atrophy,Y,,,,,,,111,,
2579,G1229,Other motor neuron disease,Y,,,,,,,111,,
2580,G128,Other spinal muscular atrophies and related syndromes,Y,,,,,,,111,,
2581,G129,"Spinal muscular atrophy, unspecified",Y,,,,,,,111,,
2582,G130,Paraneoplastic neuromyopathy and neuropathy,Y,,,,,,,115,,
2583,G131,Other systemic atrophy primarily affecting central nervous system in neoplastic disease,Y,,,,,,,115,,
2584,G20,Parkinson's disease,Y,,,,,,,119,,
2585,G2111,Neuroleptic induced parkinsonism,Y,,,,,,,119,,
2586,G2119,Other drug induced secondary parkinsonism,Y,,,,,,,119,,
2587,G212,Secondary parkinsonism due to other external agents,Y,,,,,,,119,,
2588,G213,Postencephalitic parkinsonism,Y,,,,,,,119,,
2589,G214,Vascular parkinsonism,Y,,,,,,,119,,
2590,G218,Other secondary parkinsonism,Y,,,,,,,119,,
2591,G219,"Secondary parkinsonism, unspecified",Y,,,,,,,119,,
2592,G230,Hallervorden-Spatz disease,Y,,,,,,,119,,
2593,G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],Y,,,,,,,119,,
2594,G232,Striatonigral degeneration,Y,,,,,,,119,,
2595,G238,Other specified degenerative diseases of basal ganglia,Y,,,,,,,119,,
2596,G239,"Degenerative disease of basal ganglia, unspecified",Y,,,,,,,119,,
2597,G3181,Alpers disease,Y,,,,,,,119,,
2598,G3182,Leigh's disease,Y,,,,,,,119,,
2599,G320,Subacute combined degeneration of spinal cord in diseases classified elsewhere,Y,,,,,,,110,,
2600,G3281,Cerebellar ataxia in diseases classified elsewhere,Y,,,,,,,119,,
2601,G35,Multiple sclerosis,Y,,,,,,,118,,
2602,G360,Neuromyelitis optica [Devic],Y,,,,,,,118,,
2603,G370,Diffuse sclerosis of central nervous system,Y,,,,,,,118,,
2604,G373,Acute transverse myelitis in demyelinating disease of central nervous system,Y,,,,,,,110,,
2605,G374,Subacute necrotizing myelitis of central nervous system,Y,,,,,,,110,,
2606,G375,Concentric sclerosis [Balo] of central nervous system,Y,,,,,,,118,,
2607,G40001,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, with status epilepticus",Y,,,,,,,120,,
2608,G40009,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, not intractable, without status epilepticus",Y,,,,,,,120,,
2609,G40011,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, with status epilepticus",Y,,,,,,,120,,
2610,G40019,"Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset, intractable, without status epilepticus",Y,,,,,,,120,,
2611,G40101,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, with status epilepticus",Y,,,,,,,120,,
2612,G40109,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus",Y,,,,,,,120,,
2613,G40111,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, with status epilepticus",Y,,,,,,,120,,
2614,G40119,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, intractable, without status epilepticus",Y,,,,,,,120,,
2615,G40201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",Y,,,,,,,120,,
2616,G40209,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, without status epilepticus",Y,,,,,,,120,,
2617,G40211,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus",Y,,,,,,,120,,
2618,G40219,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus",Y,,,,,,,120,,
2619,G40301,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus",Y,,,,,,,120,,
2620,G40309,"Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus",Y,,,,,,,120,,
2621,G40311,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, with status epilepticus",Y,,,,,,,120,,
2622,G40319,"Generalized idiopathic epilepsy and epileptic syndromes, intractable, without status epilepticus",Y,,,,,,,120,,
2623,G40401,"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",Y,,,,,,,120,,
2624,G40409,"Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus",Y,,,,,,,120,,
2625,G40411,"Other generalized epilepsy and epileptic syndromes, intractable, with status epilepticus",Y,,,,,,,120,,
2626,G40419,"Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus",Y,,,,,,,120,,
2627,G40501,"Epileptic seizures related to external causes, not intractable, with status epilepticus",Y,,,,,,,120,,
2628,G40509,"Epileptic seizures related to external causes, not intractable, without status epilepticus",Y,,,,,,,120,,
2629,G40801,"Other epilepsy, not intractable, with status epilepticus",Y,,,,,,,120,,
2630,G40802,"Other epilepsy, not intractable, without status epilepticus",Y,,,,,,,120,,
2631,G40803,"Other epilepsy, intractable, with status epilepticus",Y,,,,,,,120,,
2632,G40804,"Other epilepsy, intractable, without status epilepticus",Y,,,,,,,120,,
2633,G40811,"Lennox-Gastaut syndrome, not intractable, with status epilepticus",Y,,,,,,,120,,
2634,G40812,"Lennox-Gastaut syndrome, not intractable, without status epilepticus",Y,,,,,,,120,,
2635,G40813,"Lennox-Gastaut syndrome, intractable, with status epilepticus",Y,,,,,,,120,,
2636,G40814,"Lennox-Gastaut syndrome, intractable, without status epilepticus",Y,,,,,,,120,,
2637,G40821,"Epileptic spasms, not intractable, with status epilepticus",Y,,,,,,,120,,
2638,G40822,"Epileptic spasms, not intractable, without status epilepticus",Y,,,,,,,120,,
2639,G40823,"Epileptic spasms, intractable, with status epilepticus",Y,,,,,,,120,,
2640,G40824,"Epileptic spasms, intractable, without status epilepticus",Y,,,,,,,120,,
2641,G4089,Other seizures,Y,,,,,,,120,,
2642,G40901,"Epilepsy, unspecified, not intractable, with status epilepticus",Y,,,,,,,120,,
2643,G40909,"Epilepsy, unspecified, not intractable, without status epilepticus",Y,,,,,,,120,,
2644,G40911,"Epilepsy, unspecified, intractable, with status epilepticus",Y,,,,,,,120,,
2645,G40919,"Epilepsy, unspecified, intractable, without status epilepticus",Y,,,,,,,120,,
2646,G40A01,"Absence epileptic syndrome, not intractable, with status epilepticus",Y,,,,,,,120,,
2647,G40A09,"Absence epileptic syndrome, not intractable, without status epilepticus",Y,,,,,,,120,,
2648,G40A11,"Absence epileptic syndrome, intractable, with status epilepticus",Y,,,,,,,120,,
2649,G40A19,"Absence epileptic syndrome, intractable, without status epilepticus",Y,,,,,,,120,,
2650,G40B01,"Juvenile myoclonic epilepsy, not intractable, with status epilepticus",Y,,,,,,,120,,
2651,G40B09,"Juvenile myoclonic epilepsy, not intractable, without status epilepticus",Y,,,,,,,120,,
2652,G40B11,"Juvenile myoclonic epilepsy, intractable, with status epilepticus",Y,,,,,,,120,,
2653,G40B19,"Juvenile myoclonic epilepsy, intractable, without status epilepticus",Y,,,,,,,120,,
